Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 5,10625
EER(%):; 7,004
FMR100(%):; 11,429
FMR1000(%):; 12,857
ZeroFmr(%):; 12,857
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,1286;26,0290
0,0028;0,1286;25,4764
0,0028;0,1179;23,4261
0,0083;0,1179;22,9130
0,0083;0,1143;22,8218
0,0111;0,1143;22,7947
0,0111;0,1107;22,7546
0,0139;0,1107;22,6507
0,0139;0,1036;22,0821
0,0167;0,1036;21,7667
0,0167;0,1000;21,5066
0,0278;0,1000;20,3704
0,0278;0,0964;20,0795
0,0389;0,0964;19,4404
0,0389;0,0929;19,3161
0,0472;0,0929;19,1363
0,0472;0,0893;19,0476
0,0611;0,0893;18,6946
0,0611;0,0786;18,5656
0,0639;0,0786;18,2006
0,0639;0,0750;17,7878
0,0722;0,0750;17,3762
0,0722;0,0679;17,1561
0,0917;0,0679;16,5228
0,0917;0,0643;16,4399
0,1028;0,0643;15,8910
0,1028;0,0607;15,6144
0,1417;0,0607;14,2014
0,1417;0,0571;14,1421
0,1472;0,0571;13,9497
0,1472;0,0536;13,9443
0,1611;0,0536;13,8123
0,1611;0,0500;13,8013
0,1806;0,0500;13,4715
0,1806;0,0429;13,4704
0,2056;0,0429;12,9099
0,2056;0,0393;12,8654
0,2167;0,0393;12,7048
0,2167;0,0357;12,6984
0,2278;0,0357;12,5749
0,2278;0,0321;12,5553
0,2500;0,0321;12,1716
0,2500;0,0286;12,1218
0,2722;0,0286;11,6881
0,2722;0,0250;11,6692
0,3056;0,0250;11,3139
0,3056;0,0214;11,3137
0,5028;0,0214;8,4904
0,5028;0,0179;8,4853
0,6139;0,0179;6,5465
0,6139;0,0143;6,5060
1,0000;0,0143;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
