Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 9,74219
EER(%):; 20,595
FMR100(%):; 54,286
FMR1000(%):; 95,000
ZeroFmr(%):; 95,000
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,9500;0,6382
0,0028;0,9500;0,6217
0,0028;0,8571;0,5375
0,0056;0,8571;0,5345
0,0056;0,5536;0,3733
0,0083;0,5536;0,3732
0,0083;0,5429;0,3717
0,0111;0,5429;0,3709
0,0111;0,4714;0,3445
0,0167;0,4714;0,3435
0,0167;0,4464;0,3316
0,0222;0,4464;0,3311
0,0222;0,4429;0,3311
0,0250;0,4429;0,3308
0,0250;0,4393;0,3307
0,0278;0,4393;0,3307
0,0278;0,4357;0,3304
0,0306;0,4357;0,3302
0,0306;0,4286;0,3228
0,0333;0,4286;0,3184
0,0333;0,4250;0,3153
0,0361;0,4250;0,3142
0,0361;0,4107;0,3115
0,0389;0,4107;0,3073
0,0389;0,4071;0,3067
0,0417;0,4071;0,3060
0,0417;0,3893;0,3011
0,0528;0,3893;0,2978
0,0528;0,3857;0,2973
0,0583;0,3857;0,2921
0,0583;0,3750;0,2896
0,0611;0,3750;0,2893
0,0611;0,3714;0,2870
0,0639;0,3714;0,2859
0,0639;0,3607;0,2836
0,0667;0,3607;0,2835
0,0667;0,3393;0,2782
0,0694;0,3393;0,2780
0,0694;0,3357;0,2769
0,0722;0,3357;0,2752
0,0722;0,3321;0,2715
0,0750;0,3321;0,2713
0,0750;0,3286;0,2708
0,0806;0,3286;0,2689
0,0806;0,3250;0,2673
0,0889;0,3250;0,2652
0,0889;0,3214;0,2650
0,0944;0,3214;0,2647
0,0944;0,3143;0,2632
0,1056;0,3143;0,2602
0,1056;0,3071;0,2590
0,1083;0,3071;0,2572
0,1083;0,3036;0,2551
0,1167;0,3036;0,2483
0,1167;0,3000;0,2482
0,1194;0,3000;0,2482
0,1194;0,2964;0,2481
0,1278;0,2964;0,2478
0,1278;0,2929;0,2434
0,1306;0,2929;0,2424
0,1306;0,2857;0,2419
0,1389;0,2857;0,2401
0,1389;0,2821;0,2384
0,1417;0,2821;0,2381
0,1417;0,2750;0,2366
0,1444;0,2750;0,2363
0,1444;0,2571;0,2302
0,1472;0,2571;0,2291
0,1472;0,2536;0,2289
0,1556;0,2536;0,2258
0,1556;0,2500;0,2251
0,1667;0,2500;0,2205
0,1667;0,2464;0,2205
0,1778;0,2464;0,2201
0,1778;0,2393;0,2178
0,1833;0,2393;0,2171
0,1833;0,2357;0,2165
0,1889;0,2357;0,2159
0,1889;0,2250;0,2148
0,1944;0,2250;0,2131
0,1944;0,2214;0,2130
0,2000;0,2214;0,2129
0,2000;0,2179;0,2129
0,2028;0,2179;0,2126
0,2028;0,2143;0,2125
0,2083;0,2143;0,2117
0,2083;0,2036;0,2099
0,2111;0,2036;0,2089
0,2111;0,1964;0,2086
0,2139;0,1964;0,2070
0,2139;0,1929;0,2069
0,2167;0,1929;0,2066
0,2167;0,1821;0,2052
0,2472;0,1821;0,1983
0,2472;0,1786;0,1983
0,2500;0,1786;0,1982
0,2500;0,1714;0,1957
0,2528;0,1714;0,1951
0,2528;0,1679;0,1935
0,2944;0,1679;0,1876
0,2944;0,1643;0,1873
0,3028;0,1643;0,1859
0,3028;0,1464;0,1838
0,3278;0,1464;0,1796
0,3278;0,1429;0,1781
0,3306;0,1429;0,1780
0,3306;0,1393;0,1775
0,3333;0,1393;0,1771
0,3333;0,1321;0,1752
0,3389;0,1321;0,1751
0,3389;0,1286;0,1749
0,3417;0,1286;0,1736
0,3417;0,1250;0,1726
0,3444;0,1250;0,1726
0,3444;0,1214;0,1725
0,3528;0,1214;0,1713
0,3528;0,1179;0,1709
0,3611;0,1179;0,1698
0,3611;0,1107;0,1695
0,3694;0,1107;0,1684
0,3694;0,1071;0,1660
0,3722;0,1071;0,1659
0,3722;0,1036;0,1659
0,3750;0,1036;0,1658
0,3750;0,0964;0,1656
0,3833;0,0964;0,1654
0,3833;0,0929;0,1654
0,3917;0,0929;0,1653
0,3917;0,0893;0,1652
0,4417;0,0893;0,1586
0,4417;0,0786;0,1576
0,4444;0,0786;0,1566
0,4444;0,0750;0,1566
0,4583;0,0750;0,1532
0,4583;0,0714;0,1529
0,4722;0,0714;0,1525
0,4722;0,0679;0,1507
0,4917;0,0679;0,1469
0,4917;0,0643;0,1462
0,5000;0,0643;0,1457
0,5000;0,0607;0,1419
0,5306;0,0607;0,1384
0,5306;0,0571;0,1383
0,5444;0,0571;0,1367
0,5444;0,0536;0,1366
0,6194;0,0536;0,1269
0,6194;0,0500;0,1264
0,6250;0,0500;0,1244
0,6250;0,0464;0,1244
0,6667;0,0464;0,1191
0,6667;0,0429;0,1190
0,6833;0,0429;0,1171
0,6833;0,0393;0,1170
0,7028;0,0393;0,1138
0,7028;0,0357;0,1136
0,7250;0,0357;0,1124
0,7250;0,0321;0,1105
0,7833;0,0321;0,1046
0,7833;0,0286;0,1043
0,8639;0,0286;0,0889
0,8639;0,0250;0,0870
0,8667;0,0250;0,0870
0,8667;0,0214;0,0864
0,8944;0,0214;0,0827
0,8944;0,0179;0,0826
0,9306;0,0179;0,0647
0,9306;0,0143;0,0646
0,9528;0,0143;0,0554
0,9528;0,0107;0,0551
1,0000;0,0107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
