Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 7,26563
EER(%):; 22,004
FMR100(%):; 29,643
FMR1000(%):; 33,214
ZeroFmr(%):; 33,214
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,3321;33,4653
0,0028;0,3321;33,1901
0,0028;0,3000;30,2835
0,0083;0,3000;29,3312
0,0083;0,2964;29,2890
0,0111;0,2964;29,1483
0,0111;0,2893;28,6515
0,0139;0,2893;27,7018
0,0139;0,2857;27,5037
0,0167;0,2857;27,3297
0,0167;0,2821;27,2518
0,0194;0,2821;27,1908
0,0194;0,2786;26,6239
0,0333;0,2786;25,7487
0,0333;0,2750;25,2611
0,0361;0,2750;24,8367
0,0361;0,2714;24,4163
0,0528;0,2714;22,4691
0,0528;0,2679;22,2710
0,0611;0,2679;21,5809
0,0611;0,2643;21,4840
0,0722;0,2643;20,8257
0,0722;0,2607;20,8096
0,1000;0,2607;18,8153
0,1000;0,2536;18,7947
0,1083;0,2536;18,5925
0,1083;0,2500;18,5854
0,1194;0,2500;18,3269
0,1194;0,2464;18,3016
0,1472;0,2464;17,6481
0,1472;0,2429;17,6310
0,1611;0,2429;17,1751
0,1611;0,2393;17,1571
0,1750;0,2393;16,8805
0,1750;0,2357;16,8115
0,2083;0,2357;15,9654
0,2083;0,2321;15,9551
0,2111;0,2321;15,8882
0,2111;0,2286;15,8875
0,2167;0,2286;15,8513
0,2167;0,2250;15,8108
0,2222;0,2250;15,4567
0,2222;0,2179;15,2461
0,2333;0,2179;14,9256
0,2333;0,2143;14,8847
0,2389;0,2143;14,7195
0,2389;0,2107;14,7099
0,2611;0,2107;14,0201
0,2611;0,2071;13,8943
0,2917;0,2071;13,3484
0,2917;0,2036;13,3449
0,3083;0,2036;13,0006
0,3083;0,2000;12,9479
0,3250;0,2000;12,6631
0,3250;0,1964;12,6467
0,3694;0,1964;12,1135
0,3694;0,1929;12,1002
0,3917;0,1929;11,9422
0,3917;0,1893;11,9268
0,4056;0,1893;11,5675
0,4056;0,1857;11,5583
0,4167;0,1857;11,2265
0,4167;0,1821;11,2200
0,4250;0,1821;11,0464
0,4250;0,1786;10,9722
0,4528;0,1786;10,6708
0,4528;0,1750;10,5332
0,4667;0,1750;10,4243
0,4667;0,1714;10,3641
0,4833;0,1714;10,2524
0,4833;0,1679;10,1853
0,5167;0,1679;9,6993
0,5167;0,1643;9,6893
0,5222;0,1643;9,5043
0,5222;0,1607;9,4815
0,5250;0,1607;9,4159
0,5250;0,1571;9,4122
0,5306;0,1571;9,2491
0,5306;0,1500;9,0239
0,5361;0,1500;8,9453
0,5361;0,1464;8,8789
0,5500;0,1464;8,7892
0,5500;0,1393;8,6988
0,5528;0,1393;8,6902
0,5528;0,1357;8,6691
0,5639;0,1357;8,5122
0,5639;0,1286;8,4959
0,5750;0,1286;8,2075
0,5750;0,1250;8,1905
0,5778;0,1250;8,1363
0,5778;0,1214;8,1237
0,6056;0,1214;7,7052
0,6056;0,1179;7,6779
0,6250;0,1179;7,1644
0,6250;0,1143;7,0888
0,6389;0,1143;6,3251
0,6389;0,1107;6,2019
0,6639;0,1107;5,5006
0,6639;0,1036;5,1189
1,0000;0,1036;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
