GDTHR;EER;FMR;FNMR
TRESHOLD;12;GlobAngThr;21
0;38,8889;0;0,777777778
1;21,8056;0;0,436111111
2;13,3333;0;0,266666667
3;11,3889;0,005555556;0,222222222
4;9,4444;0,011111111;0,177777778
5;9,0278;0,022222222;0,158333333
6;8,1944;0,030555556;0,133333333
7;8,1944;0,044444444;0,119444444
8;8,0556;0,044444444;0,116666667
9;8,6111;0,066666667;0,105555556
10;8,6111;0,072222222;0,1
11;8,75;0,083333333;0,091666667
12;9,5833;0,105555556;0,086111111
13;10,5556;0,122222222;0,088888889
14;11,5278;0,141666667;0,088888889
15;12,2222;0,163888889;0,080555556
16;13,3333;0,186111111;0,080555556
17;14,0278;0,2;0,080555556
18;15,4167;0,227777778;0,080555556
19;16,25;0,241666667;0,083333333
Matches;total;14400;
