GATHR;EER;FMR;FNMR
TRESHOLD;21;;
0;38,8889;0;0,777777778
3;38,8889;0;0,777777778
6;35,4167;0;0,708333333
9;31,1111;0;0,622222222
12;27,7778;0;0,555555556
15;25,8333;0;0,516666667
18;24,4444;0,002777778;0,486111111
21;23,6111;0,011111111;0,461111111
24;23,0556;0,016666667;0,444444444
27;21,8056;0,033333333;0,402777778
30;22,6389;0,063888889;0,388888889
33;23,3333;0,102777778;0,363888889
36;22,9167;0,116666667;0,341666667
39;24,3056;0,158333333;0,327777778
42;25,8333;0,216666667;0,3
45;26,3889;0,258333333;0,269444444
48;27,5;0,3;0,25
51;29,3056;0,355555556;0,230555556
54;30,2778;0,391666667;0,213888889
57;30,5556;0,411111111;0,2
60;31,5278;0,438888889;0,191666667
63;33,4722;0,497222222;0,172222222
66;34,5833;0,536111111;0,155555556
69;34,4444;0,561111111;0,127777778
72;34,5833;0,572222222;0,119444444
75;35,6944;0,608333333;0,105555556
78;37,2222;0,644444444;0,1
81;37,9167;0,669444444;0,088888889
84;38,3333;0,686111111;0,080555556
87;38,8889;0,705555556;0,072222222
