TRESHOLD;EER;FMR;FNMR
0;50;1;0
3;26,1111;0,416666667;0,105555556
6;26,1111;0,416666667;0,105555556
9;24,8611;0,388888889;0,108333333
12;20,9722;0,302777778;0,116666667
15;17,6389;0,208333333;0,144444444
18;15;0,136111111;0,163888889
21;12,5;0,069444444;0,180555556
24;13,3333;0,047222222;0,219444444
27;13,8889;0,022222222;0,255555556
30;14,8611;0,013888889;0,283333333
33;16,25;0,002777778;0,322222222
36;19,1667;0,002777778;0,380555556
39;21,3889;0,002777778;0,425
42;23,8889;0,002777778;0,475
45;25,4167;0,002777778;0,505555556
